havingIP,urlOfAnchor,redirect,linksInTags,domainRegistrationLength,havingAtSymbol,doubleSlashRedirecting,port,popUpWindow,httpsToken,sfh,onMouseOver,abnormalUrl,favicon,urlLength,getageOfDomain,prefixSuffix,usingIPAddress,havingSubDomain,dnsRecord,statisticalReport,requestURL
-1,-1,0,0,-1,1,1,-1,0,-1,0,0,1,-1,1,1,1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,-1,0,0,1,-1,1,1,1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,1,0,0,1,1,-1,-1,1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,-1,0,0,1,-1,1,-1,1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,1,0,0,1,-1,0,-1,-1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,1,0,0,1,-1,-1,-1,1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,1,0,0,0,-1,1,-1,1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,-1,-1,0,1,1,0,1,1,1,-1,-1,0,0
-1,-1,0,0,0,1,1,-1,-1,1,0,0,0,1,-1,0,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,-1,0,0,0,1,1,-1,-1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,1,1,-1,0,1,-1,0,-1,1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,-1,0,0,1,-1,-1,-1,-1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,0,-1,-1,1,-1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,0,0
-1,-1,0,0,-1,1,1,-1,0,1,0,0,0,-1,1,-1,1,1,-1,-1,0,0
